concept_index,concept,target_class_index,target_class,mean_target_dice,mean_target_iou,mean_pred_ratio,best_matched_class,best_matched_dice
24,gallbladder,3,gallbladder,0.7169847038295171,0.6012208351712287,0.0014906425746905962,gallbladder,0.7169847038295171
25,cystic biliary reservoir,3,gallbladder,0.6633343470332054,0.548035816711062,0.0012534112201338155,gallbladder,0.6633343470332054
26,thin-walled pear-shaped fluid structure,3,gallbladder,0.026315789484707655,0.026315789484707655,0.0,gallbladder,0.026315789484707655
27,hypodense intraluminal bile-containing sac,3,gallbladder,0.537561950720792,0.4197922024084797,0.0007969442576846545,gallbladder,0.537561950720792
28,gallbladder fossa,3,gallbladder,0.6904390490683667,0.5727618476199967,0.0013653231607163162,gallbladder,0.6904390490683667
29,inferior hepatic surface,3,gallbladder,0.018795005813241276,0.009775646197941398,0.026755223448123294,liver,0.5053102587697689
30,adjacent to hepatic segment IVb and segment V,3,gallbladder,0.05286380067402392,0.03058229860149311,0.0007914654491920692,gallbladder,0.05286380067402392
31,gallbladder lies along the undersurface of the liver near the porta hepatis,3,gallbladder,0.6614562144274465,0.5407622686271057,0.0012669238497214179,gallbladder,0.6614562144274465
32,liver,4,liver,0.9452011489069209,0.8963761817998956,0.07066525594195995,liver,0.9452011489069209
33,hepatic parenchyma,4,liver,0.9449183921432879,0.8958520397668505,0.07035304052300491,liver,0.9449183921432879
34,large right-dominant solid visceral organ,4,liver,0.00040835507382105187,0.0002044690540278763,1.5893795863006223e-05,gallbladder,0.02685850884350141
35,homogeneous hepatic attenuation structure,4,liver,0.8947510421352046,0.8124817027561365,0.06241896188482855,liver,0.8947510421352046
36,right hypochondrial region,4,liver,0.017784735078165977,0.009097138786338608,0.0007868645106154631,gallbladder,0.01911747687524554
37,right subdiaphragmatic compartment,4,liver,2.055189676938812e-13,2.055189676938812e-13,3.1661730128013758e-09,gallbladder,0.02631578948470765
38,cranial to the gallbladder and right kidney,4,liver,3.0405996083457762e-05,1.5206938065372221e-05,1.8437405212709307e-05,gallbladder,0.05661791565544574
39,liver occupies the right upper abdomen and extends into the epigastrium,4,liver,0.7295302529603972,0.5804793035565252,0.044904598855184504,liver,0.7295302529603972
40,stomach,5,stomach,0.7743076980210188,0.6401257958343919,0.01022679617875894,stomach,0.7743076980210188
41,gastric lumen,5,stomach,0.7255947798028723,0.5796243558130526,0.00878007888124565,stomach,0.7255947798028723
42,hollow foregut organ with variable distension,5,stomach,0.4202749221374922,0.28457755815594266,0.003984435302578125,stomach,0.4202749221374922
43,air-fluid containing gastric cavity,5,stomach,0.7229163791361441,0.5757153129728493,0.008769051341507657,stomach,0.7229163791361441
44,epigastric region,5,stomach,0.4524464977940208,0.30662066515911507,0.004248980251382321,stomach,0.4524464977940208
45,left upper intraperitoneal space,5,stomach,1.1585144879153182e-12,1.1585144879153182e-12,3.659777779349435e-06,gallbladder,0.026315789484705726
46,medial to the spleen and ventral to the pancreas,5,stomach,0.000638409958906781,0.0003215838692922423,0.0003467432598900379,pancreas,0.11957636959515186
47,stomach is seen below the left hemidiaphragm anterior to the pancreatic body,5,stomach,0.11108441961088529,0.06102119786750253,0.0011475416371826586,stomach,0.11108441961088529
48,aorta,6,aorta,0.9296780749632233,0.8696204745182121,0.003668738645387587,aorta,0.9296780749632233
49,abdominal aorta,6,aorta,0.8318757208997488,0.7389739127295588,0.0030350608424371075,aorta,0.8318757208997488
50,thick-walled pulsatile arterial lumen,6,aorta,0.9244492496366303,0.8606320245696532,0.0034615374696522587,aorta,0.9244492496366303
51,round prevertebral arterial structure,6,aorta,4.467208396529776e-12,4.467208396529776e-12,0.0,gallbladder,0.026315789484707655
52,left para-aortic compartment,6,aorta,4.467208396529776e-12,4.467208396529776e-12,0.0,gallbladder,0.026315789484707655
53,anterior vertebral body margin,6,aorta,4.467208396529776e-12,4.467208396529776e-12,0.0,gallbladder,0.026315789484707655
54,left of the inferior vena cava,6,aorta,4.125551798343494e-12,4.125551798343494e-12,0.00035082796567744746,inferior_vena_cava,0.26110228965118415
55,abdominal aorta descends anterior to the spine on the left side of midline,6,aorta,0.07511275888954641,0.04673066494501537,0.00019075476104804266,aorta,0.07511275888954641
56,inferior vena cava,7,inferior_vena_cava,0.7467642532362404,0.6051571118374216,0.001922556942535374,inferior_vena_cava,0.7467642532362404
57,IVC,7,inferior_vena_cava,0.7480665698993815,0.606836135022417,0.001914671976177276,inferior_vena_cava,0.7480665698993815
58,thin-walled right-sided venous channel,7,inferior_vena_cava,0.5128006468444305,0.37609661632866,0.000841908707293028,inferior_vena_cava,0.5128006468444305
59,oval paracaval vascular lumen,7,inferior_vena_cava,0.3419228395232049,0.22516347896010816,0.0004351426070927332,inferior_vena_cava,0.3419228395232049
60,right paracaval compartment,7,inferior_vena_cava,1.0771796569030568e-11,1.0771796569030568e-11,0.0,gallbladder,0.026315789484707655
61,retrohepatic caval segment,7,inferior_vena_cava,0.32804948094036956,0.21340515710155383,0.00039183363202975705,inferior_vena_cava,0.32804948094036956
62,right of the abdominal aorta,7,inferior_vena_cava,1.0473319950410888e-11,1.0473319950410888e-11,9.565213102807207e-05,aorta,0.04354938097564395
63,inferior vena cava courses along the right anterolateral aspect of the vertebral column,7,inferior_vena_cava,0.3848870960329678,0.2733828474374403,0.0005425848050065912,inferior_vena_cava,0.3848870960329678
64,duodenum,8,duodenum,0.6578204023533588,0.4995272356146094,0.001772375908333526,duodenum,0.6578204023533588
65,duodenal C-loop,8,duodenum,0.6270520869622043,0.4671256370865669,0.0015398907994927677,duodenum,0.6270520869622043
66,C-shaped proximal small bowel segment,8,duodenum,0.5344916850464072,0.3769189766655517,0.0011826664454505206,duodenum,0.5344916850464072
67,retroperitoneal enteric loop encircling the pancreatic head,8,duodenum,0.0023541396172455206,0.001204441514233303,2.8543176421283504e-05,gallbladder,0.026315789484571455
68,right anterior pararenal compartment,8,duodenum,5.299426552956583e-12,5.299426552956583e-12,0.00021087718352083324,right_kidney,0.07487329150214167
69,peripancreatic duodenal groove,8,duodenum,0.07484065912714176,0.04147676401034931,0.000246818604046871,duodenum,0.07484065912714176
70,between the pancreatic head and right renal hilum,8,duodenum,0.0009397264701751943,0.0004735000831184166,8.694342157920393e-05,pancreas,0.0285330255780203
71,duodenum curves around the pancreatic head in the right upper abdomen,8,duodenum,0.4298491805194617,0.28367842791808867,0.0008351575553328997,duodenum,0.4298491805194617
72,pancreas,9,pancreas,0.8094883495285591,0.6858927935252515,0.004081481263767153,pancreas,0.8094883495285591
73,pancreatic parenchyma,9,pancreas,0.8116998452675409,0.689175878474068,0.004059018982337243,pancreas,0.8116998452675409
74,lobulated transverse retroperitoneal gland,9,pancreas,0.01308005125727993,0.006731978629910743,3.540760572996978e-05,pancreas,0.01308005125727993
75,elongated soft-tissue organ across the epigastrium,9,pancreas,0.00833421205951251,0.0049057859105522605,0.008993216661443116,stomach,0.7310137046505969
76,anterior pararenal compartment,9,pancreas,8.801270643126372e-06,4.40137296688814e-06,8.95522130566978e-06,right_kidney,0.0274925836896282
77,retrogastric pancreatic bed,9,pancreas,0.5055068611314364,0.3501526103490282,0.0019635358846317786,pancreas,0.5055068611314364
78,from the duodenal C-loop toward the splenic hilum,9,pancreas,0.014512983385454417,0.007402381600532174,0.0010121391254802518,duodenum,0.48689670305389465
79,pancreas lies posterior to the stomach and extends transversely toward the spleen,9,pancreas,0.6225225542418898,0.4601312355887705,0.0025775010178357557,pancreas,0.6225225542418898
80,esophagus,10,esophagus,0.5150891118021012,0.36139001234981083,0.00036479986825056505,esophagus,0.5150891118021012
81,distal thoracic esophagus,10,esophagus,0.009925864089753003,0.0052846937071941245,5.06897396782067e-06,gallbladder,0.0263157894846493
82,small collapsed tubular foregut lumen,10,esophagus,3.668797435106809e-11,3.668797435106809e-11,2.737998088055935e-07,gallbladder,0.02631578948470737
83,thin-walled structure at the esophageal hiatus,10,esophagus,0.12057434054664093,0.07035834194482717,5.8865016914797694e-05,esophagus,0.12057434054664093
84,posterior mediastinal compartment,10,esophagus,0.0026781441177919337,0.0013724516693096908,5.9128301149927885e-05,gallbladder,0.026315789483911205
85,gastroesophageal junction region,10,esophagus,3.6696649250535415e-11,3.6696649250535415e-11,0.0,gallbladder,0.026315789484707655
86,posterior to the left atrium and anterior to the vertebral column,10,esophagus,3.669660467483109e-11,3.669660467483109e-11,1.6134005695433083e-09,gallbladder,0.02631578948470765
87,distal esophagus enters the abdomen through the diaphragmatic hiatus above the stomach,10,esophagus,0.04597687913281638,0.025437393669332748,2.6153222084201227e-05,esophagus,0.04597687913281638
