case,concept_index,concept,target_class_index,target_class,target_dice,target_iou,pred_voxels,target_gt_voxels,target_intersection,pred_ratio
CYST_PA19.nii.gz,33,hepatic parenchyma,4,liver,0.9476202342882075,0.9004546316483724,967722,1046720,954463,0.059330282586464396
CYST_PA19.nii.gz,34,large right-dominant solid visceral organ,4,liver,0.001271406058746093,0.0006361074048249954,939,1046720,666,5.7569359122444324e-05
CYST_PA19.nii.gz,35,homogeneous hepatic attenuation structure,4,liver,0.9266587762915512,0.8633403393283497,914319,1046720,908607,0.056056186223082186
CYST_PA19.nii.gz,36,right hypochondrial region,4,liver,0.014344873563877744,0.0072242522747231076,9267,1046720,7574,0.0005681525569623978
CYST_PA19.nii.gz,37,right subdiaphragmatic compartment,4,liver,9.553653317027519e-14,9.553653317027519e-14,0,1046720,0,0.0
CYST_PA19.nii.gz,38,cranial to the gallbladder and right kidney,4,liver,9.553288241811918e-14,9.553288241811918e-14,40,1046720,0,2.4523688657058284e-06
CYST_PA19.nii.gz,39,liver occupies the right upper abdomen and extends into the epigastrium,4,liver,0.6879613878822565,0.5243453824669514,554021,1046720,550624,0.03396659628368022
CYST_PA19.nii.gz,40,stomach,5,stomach,0.5936672959717616,0.42213858375869084,72289,159713,68866,0.004431982323325216
CYST_PA19.nii.gz,41,gastric lumen,5,stomach,0.5172278398568386,0.34882489283262585,56768,159713,55985,0.003480401894209712
CYST_PA19.nii.gz,42,hollow foregut organ with variable distension,5,stomach,0.2529820149788154,0.14480790532686771,23217,159713,23139,0.0014234161988773055
CYST_PA19.nii.gz,43,air-fluid containing gastric cavity,5,stomach,0.5139535311542183,0.34585293389493327,57723,159713,55876,0.0035389522008784386
CYST_PA19.nii.gz,44,epigastric region,5,stomach,0.31706148915041654,0.1883975481616285,30288,159713,30121,0.0018569337051124533
CYST_PA19.nii.gz,45,left upper intraperitoneal space,5,stomach,6.261231083251669e-13,6.261231083251669e-13,0,159713,0,0.0
CYST_PA19.nii.gz,46,medial to the spleen and ventral to the pancreas,5,stomach,6.202858277090237e-13,6.202858277090237e-13,1503,159713,0,9.214776012889651e-05
CYST_PA19.nii.gz,47,stomach is seen below the left hemidiaphragm anterior to the pancreatic body,5,stomach,0.14016638783665075,0.0753650148704088,16021,159713,12316,0.000982235039936827
CYST_PA19.nii.gz,48,aorta,6,aorta,0.9462524767132635,0.8979878536387257,44999,42819,41549,0.0027588536646974146
CYST_PA19.nii.gz,49,abdominal aorta,6,aorta,0.9347783747866981,0.8775435577546192,44468,42819,40797,0.0027262984680051696
CYST_PA19.nii.gz,50,thick-walled pulsatile arterial lumen,6,aorta,0.947460718294113,0.9001666111298452,42717,42819,40521,0.002618946020908897
CYST_PA19.nii.gz,51,round prevertebral arterial structure,6,aorta,2.335411849874272e-12,2.335411849874272e-12,0,42819,0,0.0
CYST_PA19.nii.gz,52,left para-aortic compartment,6,aorta,2.335411849874272e-12,2.335411849874272e-12,0,42819,0,0.0
CYST_PA19.nii.gz,53,anterior vertebral body margin,6,aorta,2.335411849874272e-12,2.335411849874272e-12,0,42819,0,0.0
CYST_PA19.nii.gz,54,left of the inferior vena cava,6,aorta,2.2147413182091273e-12,2.2147413182091273e-12,2333,42819,0,0.00014303441409229244
CYST_PA19.nii.gz,55,abdominal aorta descends anterior to the spine on the left side of midline,6,aorta,0.1231037489121118,0.06558900037377928,3061,42819,2824,0.00018766752744813853
CYST_PA19.nii.gz,56,inferior vena cava,7,inferior_vena_cava,0.5823858161508885,0.41082109842572584,18603,12531,9066,0.0011405354502181382
CYST_PA19.nii.gz,57,IVC,7,inferior_vena_cava,0.5791528026632354,0.4076108984489637,18725,12531,9051,0.001148015175258541
CYST_PA19.nii.gz,58,thin-walled right-sided venous channel,7,inferior_vena_cava,0.2976134768407954,0.17482133040698994,4565,12531,2544,0.00027987659679867767
CYST_PA19.nii.gz,59,oval paracaval vascular lumen,7,inferior_vena_cava,0.0017541062111166154,0.0008778230069357766,11,12531,11,6.744014380691028e-07
CYST_PA19.nii.gz,60,right paracaval compartment,7,inferior_vena_cava,7.98020908141425e-12,7.98020908141425e-12,0,12531,0,0.0
CYST_PA19.nii.gz,61,retrohepatic caval segment,7,inferior_vena_cava,0.36948438275056095,0.22660585329360236,3605,12531,2981,0.0002210197440217378
CYST_PA19.nii.gz,62,right of the abdominal aorta,7,inferior_vena_cava,7.98020908141425e-12,7.98020908141425e-12,0,12531,0,0.0
CYST_PA19.nii.gz,63,inferior vena cava courses along the right anterolateral aspect of the vertebral column,7,inferior_vena_cava,0.38433504946269254,0.23788041532948168,4756,12531,3322,0.000291586658132423
CYST_PA19.nii.gz,64,duodenum,8,duodenum,0.5931335293936717,0.4215990229264299,14490,15773,8975,0.0008883706216019364
CYST_PA19.nii.gz,65,duodenal C-loop,8,duodenum,0.5819137825491342,0.41035148313993114,11994,15773,8079,0.0007353428043818927
CYST_PA19.nii.gz,66,C-shaped proximal small bowel segment,8,duodenum,0.40674308833712414,0.2552903335068264,6472,15773,4524,0.00039679328247120305
CYST_PA19.nii.gz,67,retroperitoneal enteric loop encircling the pancreatic head,8,duodenum,6.0153994224854696e-12,6.0153994224854696e-12,851,15773,0,5.21741476178915e-05
CYST_PA19.nii.gz,68,right anterior pararenal compartment,8,duodenum,6.339948012386102e-12,6.339948012386102e-12,0,15773,0,0.0
CYST_PA19.nii.gz,69,peripancreatic duodenal groove,8,duodenum,0.009070294789930513,0.004555808661435319,2749,15773,84,0.00016853905029563308
CYST_PA19.nii.gz,70,between the pancreatic head and right renal hilum,8,duodenum,6.023370678195257e-12,6.023370678195257e-12,829,15773,0,5.0825344741753294e-05
CYST_PA19.nii.gz,71,duodenum curves around the pancreatic head in the right upper abdomen,8,duodenum,0.22044003588233818,0.12387333966363925,3180,15773,2089,0.00019496332482361336
CYST_PA19.nii.gz,72,pancreas,9,pancreas,0.7200806593710526,0.5625984673515723,55529,46629,36781,0.0034044397685944736
CYST_PA19.nii.gz,73,pancreatic parenchyma,9,pancreas,0.7361964406043282,0.5825244240938661,54287,46629,37147,0.0033282937153143077
CYST_PA19.nii.gz,74,lobulated transverse retroperitoneal gland,9,pancreas,0.008069305918839845,0.004050997328801047,2198,46629,197,0.00013475766917053528
CYST_PA19.nii.gz,75,elongated soft-tissue organ across the epigastrium,9,pancreas,9.035954061201388e-13,9.035954061201388e-13,64040,46629,0,0.003926242553995031
CYST_PA19.nii.gz,76,anterior pararenal compartment,9,pancreas,2.144588131844679e-12,2.144588131844679e-12,0,46629,0,0.0
CYST_PA19.nii.gz,77,retrogastric pancreatic bed,9,pancreas,0.538176934883334,0.36815463357136774,26347,46629,19637,0.0016153140626187865
CYST_PA19.nii.gz,78,from the duodenal C-loop toward the splenic hilum,9,pancreas,0.0329888942558513,0.016771076767901707,5146,46629,854,0.00031549725457305483
CYST_PA19.nii.gz,79,pancreas lies posterior to the stomach and extends transversely toward the spleen,9,pancreas,0.5737578954228381,0.40228646565845044,30156,46629,22028,0.0018488408878556241
CYST_PA19.nii.gz,80,esophagus,10,esophagus,0.6676122931468274,0.501064584817825,5007,7683,4236,0.0003069752727647271
CYST_PA19.nii.gz,81,distal thoracic esophagus,10,esophagus,1.3015749056188784e-11,1.3015749056188784e-11,0,7683,0,0.0
CYST_PA19.nii.gz,82,small collapsed tubular foregut lumen,10,esophagus,1.3015749056188784e-11,1.3015749056188784e-11,0,7683,0,0.0
CYST_PA19.nii.gz,83,thin-walled structure at the esophageal hiatus,10,esophagus,0.14375453009007302,0.07744370689733901,595,7683,595,3.64789868773742e-05
CYST_PA19.nii.gz,84,posterior mediastinal compartment,10,esophagus,1.3015749056188784e-11,1.3015749056188784e-11,0,7683,0,0.0
CYST_PA19.nii.gz,85,gastroesophageal junction region,10,esophagus,1.3015749056188784e-11,1.3015749056188784e-11,0,7683,0,0.0
CYST_PA19.nii.gz,86,posterior to the left atrium and anterior to the vertebral column,10,esophagus,1.3014055179424595e-11,1.3014055179424595e-11,1,7683,0,6.130922164264571e-08
CYST_PA19.nii.gz,87,distal esophagus enters the abdomen through the diaphragmatic hiatus above the stomach,10,esophagus,0.156448710268069,0.08486268385936661,652,7683,652,3.997361251100501e-05
CYST_PA20.nii.gz,0,spleen,0,spleen,0.9217986722892869,0.8549411400248853,121986,141475,121429,0.011470056425990369
CYST_PA20.nii.gz,1,splenic parenchyma,0,spleen,0.9285859659438093,0.8666919943435794,123851,141475,123189,0.011645417985796184
CYST_PA20.nii.gz,2,homogeneous left upper quadrant solid organ,0,spleen,7.068386640744253e-13,7.068386640744253e-13,0,141475,0,0.0
CYST_PA20.nii.gz,3,crescentic organ with smooth lateral convexity,0,spleen,7.068386640744253e-13,7.068386640744253e-13,0,141475,0,0.0
CYST_PA20.nii.gz,4,left hypochondrial region,0,spleen,7.068386640744253e-13,7.068386640744253e-13,0,141475,0,0.0
CYST_PA20.nii.gz,5,left subphrenic compartment,0,spleen,7.068386640744253e-13,7.068386640744253e-13,0,141475,0,0.0
CYST_PA20.nii.gz,6,posterolateral to the gastric fundus,0,spleen,4.581103862784679e-13,4.581103862784679e-13,76813,141475,0,0.007222545572849329
CYST_PA20.nii.gz,7,spleen lies beneath the left hemidiaphragm along the left lateral abdominal wall,0,spleen,0.9082297490874158,0.83188724764053,118217,141475,117930,0.01111566622818441
CYST_PA20.nii.gz,8,right kidney,1,right_kidney,0.9314571154737631,0.8717077517079042,75426,82125,73376,0.007092129227835568
CYST_PA20.nii.gz,9,right renal parenchyma,1,right_kidney,0.9281311282729828,0.8658998808106485,74424,82125,72649,0.006997913526535072
CYST_PA20.nii.gz,10,right-sided reniform retroperitoneal organ,1,right_kidney,0.8938514655109796,0.8080754416259457,67618,82125,66924,0.006357961367801361
CYST_PA20.nii.gz,11,right renal cortex with central renal sinus,1,right_kidney,0.8384742253571685,0.7218731117828134,60360,82125,59735,0.005675508713071817
CYST_PA20.nii.gz,12,right renal fossa,1,right_kidney,0.9076683143454392,0.83094569741575,69199,82125,68676,0.006506619076140767
CYST_PA20.nii.gz,13,right posterior pararenal region,1,right_kidney,1.2176560121750774e-12,1.2176560121750774e-12,0,82125,0,0.0
CYST_PA20.nii.gz,14,caudal to the right hepatic lobe,1,right_kidney,1.2137395314950676e-12,1.2137395314950676e-12,265,82125,0,2.4917326192247044e-05
CYST_PA20.nii.gz,15,right kidney is positioned in the right posterior retroperitoneum adjacent to the psoas muscle,1,right_kidney,0.7056477991342126,0.5451744885685377,46279,82125,45304,0.004351505429626419
CYST_PA20.nii.gz,16,left kidney,2,left_kidney,0.9224168050950268,0.8560051877724935,76890,86251,75242,0.007229785701591982
CYST_PA20.nii.gz,17,left renal parenchyma,2,left_kidney,0.9225826344351735,0.8562908524790729,75909,86251,74803,0.007137544580857664
CYST_PA20.nii.gz,18,left-sided bean-shaped retroperitoneal organ,2,left_kidney,0.8842346068345885,0.7924915150183687,68493,86251,68415,0.0064402355580587805
CYST_PA20.nii.gz,19,left renal cortex surrounding the collecting sinus,2,left_kidney,0.8427046545773034,0.7281673238473877,64955,86251,63711,0.0061075657464807805
CYST_PA20.nii.gz,20,left renal fossa,2,left_kidney,0.9028566364736061,0.8229158253045371,71732,86251,71318,0.006744791103480245
CYST_PA20.nii.gz,21,left posterior pararenal region,2,left_kidney,0.019085459682805762,0.009634670903514586,831,86251,831,7.813697383304639e-05
CYST_PA20.nii.gz,22,posteroinferior to the spleen,2,left_kidney,1.1191065053648633e-12,1.1191065053648633e-12,3106,86251,0,0.00029204986850233706
CYST_PA20.nii.gz,23,left kidney is positioned in the left posterior retroperitoneum near the splenic hilum,2,left_kidney,0.7020220843475165,0.5408582656777722,50588,86251,48032,0.004756670556276957
CYST_PA20.nii.gz,24,gallbladder,3,gallbladder,0.8713110921644279,0.7719674448078074,33149,39569,31680,0.003116922437535084
CYST_PA20.nii.gz,25,cystic biliary reservoir,3,gallbladder,0.8433855763447418,0.7291847301019913,30233,39569,29435,0.002842737821774358
CYST_PA20.nii.gz,26,thin-walled pear-shaped fluid structure,3,gallbladder,2.5272309130821417e-12,2.5272309130821417e-12,0,39569,0,0.0
CYST_PA20.nii.gz,27,hypodense intraluminal bile-containing sac,3,gallbladder,0.28053099267977377,0.1631497814076896,6458,39569,6456,0.0006072305379227601
CYST_PA20.nii.gz,28,gallbladder fossa,3,gallbladder,0.8644449102216664,0.761253168607385,31996,39569,30932,0.0030085085616873074
CYST_PA20.nii.gz,29,inferior hepatic surface,3,gallbladder,0.04023791404993763,0.020532040260796115,224560,39569,5314,0.021114848187664136
CYST_PA20.nii.gz,30,adjacent to hepatic segment IVb and segment V,3,gallbladder,0.0023571586441369185,0.0011799700115509722,1158,39569,48,0.00010888401407781916
CYST_PA20.nii.gz,31,gallbladder lies along the undersurface of the liver near the porta hepatis,3,gallbladder,0.8404972035876465,0.7248772544478921,30342,39569,29380,0.0028529868351892824
CYST_PA20.nii.gz,32,liver,4,liver,0.9213123768146297,0.8541048928456217,733640,815854,713784,0.06898244221766084
CYST_PA20.nii.gz,33,hepatic parenchyma,4,liver,0.9282137002861041,0.8660436325169405,729413,815854,717169,0.06858498735798299
CYST_PA20.nii.gz,34,large right-dominant solid visceral organ,4,liver,1.2257095019450507e-13,1.2257095019450507e-13,0,815854,0,0.0
CYST_PA20.nii.gz,35,homogeneous hepatic attenuation structure,4,liver,0.8942305419969917,0.8086952804899877,665169,815854,662188,0.06254427526781424
CYST_PA20.nii.gz,36,right hypochondrial region,4,liver,0.0014327366863860097,0.0007168818947493956,765,815854,585,7.193114919648675e-05
CYST_PA20.nii.gz,37,right subdiaphragmatic compartment,4,liver,1.2257095019450507e-13,1.2257095019450507e-13,0,815854,0,0.0
CYST_PA20.nii.gz,38,cranial to the gallbladder and right kidney,4,liver,1.225251464481648e-05,6.1262949149295205e-06,305,815854,5,2.8678432032586222e-05
CYST_PA20.nii.gz,39,liver occupies the right upper abdomen and extends into the epigastrium,4,liver,0.6500229390350052,0.48150665506152857,396054,815854,393884,0.037240025312242304
CYST_PA20.nii.gz,40,stomach,5,stomach,0.8267670207076386,0.7046912551046921,110494,151246,108199,0.010389490718060924
CYST_PA20.nii.gz,41,gastric lumen,5,stomach,0.7747527941508943,0.6323236571791508,97130,151246,96215,0.009132905256803605
CYST_PA20.nii.gz,42,hollow foregut organ with variable distension,5,stomach,0.3388557276769488,0.2039893423606778,30861,151246,30854,0.002901787183467683
CYST_PA20.nii.gz,43,air-fluid containing gastric cavity,5,stomach,0.767753385359781,0.6230517302610694,95552,151246,94740,0.008984529631402225
CYST_PA20.nii.gz,44,epigastric region,5,stomach,0.31574493199078224,0.1874685954571262,28361,151246,28355,0.002666718068446485
CYST_PA20.nii.gz,45,left upper intraperitoneal space,5,stomach,6.611745103998379e-13,6.611745103998379e-13,0,151246,0,0.0
CYST_PA20.nii.gz,46,medial to the spleen and ventral to the pancreas,5,stomach,6.415150018279062e-13,6.415150018279062e-13,4635,151246,0,0.00043581813924930206
CYST_PA20.nii.gz,47,stomach is seen below the left hemidiaphragm anterior to the pancreatic body,5,stomach,0.010501299569204153,0.005278364629030164,1497,151246,802,0.00014075938607469368
CYST_PA20.nii.gz,48,aorta,6,aorta,0.9562817248039204,0.9162259083988338,57773,59249,55953,0.005432259192847881
CYST_PA20.nii.gz,49,abdominal aorta,6,aorta,0.7502585210570467,0.6003309754046331,39389,59249,37002,0.0037036549486279954
CYST_PA20.nii.gz,50,thick-walled pulsatile arterial lumen,6,aorta,0.942838871319618,0.891859193211754,54902,59249,53813,0.005162305821157537
CYST_PA20.nii.gz,51,round prevertebral arterial structure,6,aorta,1.6877921990216074e-12,1.6877921990216074e-12,0,59249,0,0.0
CYST_PA20.nii.gz,52,left para-aortic compartment,6,aorta,1.6877921990216074e-12,1.6877921990216074e-12,0,59249,0,0.0
CYST_PA20.nii.gz,53,anterior vertebral body margin,6,aorta,1.6877921990216074e-12,1.6877921990216074e-12,0,59249,0,0.0
CYST_PA20.nii.gz,54,left of the inferior vena cava,6,aorta,1.6866250632455951e-12,1.6866250632455951e-12,41,59249,0,3.855133486347656e-06
CYST_PA20.nii.gz,55,abdominal aorta descends anterior to the spine on the left side of midline,6,aorta,0.0016526695689540072,0.0008270181792083799,49,59249,49,4.607354654415491e-06
CYST_PA20.nii.gz,56,inferior vena cava,7,inferior_vena_cava,0.6181979808266036,0.44738535061623574,8982,6767,4868,0.000844556316448162
CYST_PA20.nii.gz,57,IVC,7,inferior_vena_cava,0.6161678115823346,0.44526194486796145,9537,6767,5023,0.0008967416599828682
CYST_PA20.nii.gz,58,thin-walled right-sided venous channel,7,inferior_vena_cava,0.19368213228831507,0.10722483332487456,3363,6767,981,0.0003162149735265163
CYST_PA20.nii.gz,59,oval paracaval vascular lumen,7,inferior_vena_cava,0.14015359299039834,0.07535761688430383,525,6767,511,4.936451415445169e-05
CYST_PA20.nii.gz,60,right paracaval compartment,7,inferior_vena_cava,1.4777597162482967e-11,1.4777597162482967e-11,0,6767,0,0.0
CYST_PA20.nii.gz,61,retrohepatic caval segment,7,inferior_vena_cava,0.17238669112952076,0.0943233945083956,867,6767,658,8.152196908935165e-05
CYST_PA20.nii.gz,62,right of the abdominal aorta,7,inferior_vena_cava,1.4721036360743103e-11,1.4721036360743103e-11,26,6767,0,2.4447187962204645e-06
CYST_PA20.nii.gz,63,inferior vena cava courses along the right anterolateral aspect of the vertebral column,7,inferior_vena_cava,0.07734038115068381,0.04022572711560953,422,6767,278,3.9679666615578314e-05
CYST_PA20.nii.gz,64,duodenum,8,duodenum,0.6857663595739573,0.5217994262818029,31416,48690,27467,0.0029539725270023892
CYST_PA20.nii.gz,65,duodenal C-loop,8,duodenum,0.6500954522873897,0.4815862376266848,27788,48690,24859,0.002612840227283626
CYST_PA20.nii.gz,66,C-shaped proximal small bowel segment,8,duodenum,0.5819096179373027,0.4103473412545849,22895,48690,20828,0.0021527629553641362
CYST_PA20.nii.gz,67,retroperitoneal enteric loop encircling the pancreatic head,8,duodenum,8.214902037278784e-05,4.107619839794398e-05,2,48690,2,1.8805529201695882e-07
CYST_PA20.nii.gz,68,right anterior pararenal compartment,8,duodenum,1.989812161727973e-12,1.989812161727973e-12,1566,48690,0,0.00014724729364927876
CYST_PA20.nii.gz,69,peripancreatic duodenal groove,8,duodenum,0.004871190671462206,0.0024415419448917354,1811,48690,123,0.00017028406692135622
CYST_PA20.nii.gz,70,between the pancreatic head and right renal hilum,8,duodenum,2.050861361767738e-12,2.050861361767738e-12,70,48690,0,6.581935220593559e-06
CYST_PA20.nii.gz,71,duodenum curves around the pancreatic head in the right upper abdomen,8,duodenum,0.3362453955743126,0.20210035463233586,12664,48690,10315,0.0011907661090513834
CYST_PA20.nii.gz,72,pancreas,9,pancreas,0.8080851664082178,0.6779722373060468,49905,70612,48694,0.004692449674053165
CYST_PA20.nii.gz,73,pancreatic parenchyma,9,pancreas,0.8111809460802091,0.682341810896986,50308,70612,49044,0.004730342815394582
CYST_PA20.nii.gz,74,lobulated transverse retroperitoneal gland,9,pancreas,0.0019524341774989707,0.0009771710205050456,69,70612,69,6.4879075745850794e-06
CYST_PA20.nii.gz,75,elongated soft-tissue organ across the epigastrium,9,pancreas,5.777908743705963e-13,5.777908743705963e-13,102461,70612,0,0.009634166637674808
CYST_PA20.nii.gz,76,anterior pararenal compartment,9,pancreas,1.4125690393098009e-12,1.4125690393098009e-12,181,70612,0,1.7019003927534775e-05
CYST_PA20.nii.gz,77,retrogastric pancreatic bed,9,pancreas,0.454133905170951,0.29377311960641495,21722,70612,20966,0.00204246852659619
CYST_PA20.nii.gz,78,from the duodenal C-loop toward the splenic hilum,9,pancreas,0.027860854931339638,0.014127225759970793,17325,70612,1225,0.0016290289670969058
CYST_PA20.nii.gz,79,pancreas lies posterior to the stomach and extends transversely toward the spleen,9,pancreas,0.5589451133042064,0.3878721889534907,28811,70612,27786,0.0027090305091503003
CYST_PA20.nii.gz,80,esophagus,10,esophagus,0.33266533066800935,0.19951923077885192,2856,7124,1660,0.0002685429570002172
CYST_PA20.nii.gz,81,distal thoracic esophagus,10,esophagus,1.4037057832481231e-11,1.4037057832481231e-11,0,7124,0,0.0
CYST_PA20.nii.gz,82,small collapsed tubular foregut lumen,10,esophagus,1.4037057832481231e-11,1.4037057832481231e-11,0,7124,0,0.0
CYST_PA20.nii.gz,83,thin-walled structure at the esophageal hiatus,10,esophagus,0.01615148984939917,0.008141493556876173,58,7124,58,5.453603468491806e-06
CYST_PA20.nii.gz,84,posterior mediastinal compartment,10,esophagus,1.4037057832481231e-11,1.4037057832481231e-11,0,7124,0,0.0
CYST_PA20.nii.gz,85,gastroesophageal junction region,10,esophagus,1.4037057832481231e-11,1.4037057832481231e-11,0,7124,0,0.0
CYST_PA20.nii.gz,86,posterior to the left atrium and anterior to the vertebral column,10,esophagus,1.4037057832481231e-11,1.4037057832481231e-11,0,7124,0,0.0
CYST_PA20.nii.gz,87,distal esophagus enters the abdomen through the diaphragmatic hiatus above the stomach,10,esophagus,1.4037057832481231e-11,1.4037057832481231e-11,0,7124,0,0.0
CYST_PA37.nii.gz,0,spleen,0,spleen,0.9100172650717663,0.8348914491125401,64867,77038,64568,0.004969856164009927
CYST_PA37.nii.gz,1,splenic parenchyma,0,spleen,0.9131056928818544,0.8401053229389229,65526,77038,65088,0.005020346169900172
CYST_PA37.nii.gz,2,homogeneous left upper quadrant solid organ,0,spleen,1.2980606973165215e-12,1.2980606973165215e-12,0,77038,0,0.0
CYST_PA37.nii.gz,3,crescentic organ with smooth lateral convexity,0,spleen,1.2980606973165215e-12,1.2980606973165215e-12,0,77038,0,0.0
CYST_PA37.nii.gz,4,left hypochondrial region,0,spleen,1.2980606973165215e-12,1.2980606973165215e-12,0,77038,0,0.0
CYST_PA37.nii.gz,5,left subphrenic compartment,0,spleen,1.2980606973165215e-12,1.2980606973165215e-12,0,77038,0,0.0
CYST_PA37.nii.gz,6,posterolateral to the gastric fundus,0,spleen,1.087902523932672e-12,1.087902523932672e-12,14882,77038,0,0.0011402007096489083
CYST_PA37.nii.gz,7,spleen lies beneath the left hemidiaphragm along the left lateral abdominal wall,0,spleen,0.901317695269791,0.8203624390685389,64497,77038,63784,0.004941508209261231
CYST_PA37.nii.gz,8,right kidney,1,right_kidney,0.9246972773673111,0.8599413522393238,93119,107312,92669,0.007134414049307666
CYST_PA37.nii.gz,9,right renal parenchyma,1,right_kidney,0.9242950618086586,0.8592459037724707,92741,107312,92454,0.007105453165807647
CYST_PA37.nii.gz,10,right-sided reniform retroperitoneal organ,1,right_kidney,0.8428586827639092,0.7283973618514287,78228,107312,78192,0.005993523794813519
CYST_PA37.nii.gz,11,right renal cortex with central renal sinus,1,right_kidney,0.7341400763540238,0.5799536446653387,62424,107312,62305,0.004782683046574617
CYST_PA37.nii.gz,12,right renal fossa,1,right_kidney,0.8920797238661369,0.805184039937593,86507,107312,86451,0.006627828436339075
